Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,Day,Weekday,Quarter,Year,Is_Weekend,Season,Total Amount_Daily,Rolling_7D,Lag_1,Lag_7,Purchase_Frequency,Average_Spend,Category_Popularity
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,4,22,Saturday,2,2023,True,Spring,225,1045.7142857142858,170.0,700.0,1,25.0,344
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,4,30,Sunday,2,2023,True,Spring,155,611.4285714285714,1960.0,2905.0,1,25.0,337
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,9,16,Saturday,3,2023,True,Autumn,2150,867.8571428571429,75.0,1125.0,1,25.0,344
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,11,5,Sunday,4,2023,True,Autumn,1800,1247.142857142857,500.0,1250.0,1,300.0,344
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,1,14,Saturday,1,2023,True,Winter,1550,709.2857142857143,1930.0,620.0,1,500.0,301
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,10,15,Sunday,4,2023,True,Autumn,1500,1117.857142857143,110.0,2025.0,1,50.0,344
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,4,12,Wednesday,2,2023,False,Spring,1590,1383.5714285714287,50.0,1620.0,1,30.0,344
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,11,29,Wednesday,4,2023,False,Autumn,1825,985.7142857142857,390.0,2200.0,1,300.0,344
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,12,26,Tuesday,4,2023,False,Winter,1880,1111.4285714285713,1200.0,790.0,1,50.0,301
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,10,7,Saturday,4,2023,True,Autumn,2500,1965.0,1500.0,2900.0,1,500.0,337
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,8,3,Thursday,3,2023,False,Summer,375,991.4285714285714,50.0,1190.0,1,25.0,301
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,4,23,Sunday,2,2023,True,Spring,2905,1417.857142857143,225.0,300.0,1,500.0,301
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,8,18,Friday,3,2023,False,Summer,1630,1100.0,900.0,200.0,1,30.0,337
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,10,29,Sunday,4,2023,True,Autumn,1250,2012.857142857143,3650.0,50.0,1,300.0,301
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,5,23,Tuesday,2,2023,False,Spring,8455,2691.4285714285716,1810.0,7260.0,1,300.0,337
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,3,23,Thursday,1,2023,False,Spring,1950,1795.0,1390.0,1000.0,1,50.0,337
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,12,24,Sunday,4,2023,True,Winter,200,1105.7142857142858,1850.0,1500.0,1,50.0,344
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,8,5,Saturday,3,2023,True,Summer,5205,1197.142857142857,260.0,575.0,1,300.0,301
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,6,24,Saturday,2,2023,True,Summer,6220,1688.5714285714287,170.0,1450.0,1,300.0,301
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,5,23,Tuesday,2,2023,False,Spring,8455,2691.4285714285716,1810.0,7260.0,1,25.0,301
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,3,21,Tuesday,1,2023,False,Spring,3500,1503.5714285714287,2950.0,525.0,1,50.0,301
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,4,21,Friday,2,2023,False,Spring,170,1113.5714285714287,3375.0,360.0,1,30.0,344
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,6,22,Thursday,2,2023,False,Summer,1220,1015.7142857142857,175.0,220.0,1,50.0,301
41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,2,22,Wednesday,1,2023,False,Winter,300,1661.4285714285713,385.0,400.0,1,25.0,344
42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,2,17,Friday,1,2023,False,Winter,5890,2200.714285714286,900.0,600.0,1,300.0,344
43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,7,14,Friday,3,2023,False,Summer,5125,1180.0,100.0,780.0,1,300.0,344
44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,2,19,Sunday,1,2023,True,Winter,2025,2045.0,1000.0,2215.0,1,25.0,344
45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,7,3,Monday,3,2023,False,Summer,230,1212.857142857143,1750.0,900.0,1,30.0,337
46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,6,26,Monday,2,2023,False,Summer,2130,1572.142857142857,900.0,2945.0,1,300.0,337
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,11,6,Monday,4,2023,False,Autumn,2700,1622.142857142857,1800.0,75.0,1,500.0,301
48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,5,16,Tuesday,2,2023,False,Spring,7260,1875.7142857142858,1680.0,660.0,1,300.0,337
49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,1,23,Monday,1,2023,False,Winter,3120,1619.2857142857142,325.0,660.0,1,500.0,337
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,8,24,Thursday,3,2023,False,Summer,1305,1392.857142857143,1730.0,900.0,1,25.0,301
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,10,2,Monday,4,2023,False,Autumn,1245,1587.142857142857,2800.0,390.0,1,25.0,301
52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,3,5,Sunday,1,2023,True,Spring,420,1022.1428571428571,1000.0,50.0,1,300.0,301
53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,7,13,Thursday,3,2023,False,Summer,100,559.2857142857143,30.0,500.0,1,50.0,337
54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,2,10,Friday,1,2023,False,Winter,1900,1225.0,600.0,1230.0,1,500.0,337
55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,10,10,Tuesday,4,2023,False,Autumn,2120,1697.142857142857,195.0,2170.0,1,30.0,301
56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,5,31,Wednesday,2,2023,False,Spring,2300,1505.0,140.0,50.0,1,300.0,344
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,11,18,Saturday,4,2023,True,Autumn,1130,1342.857142857143,2610.0,115.0,1,30.0,301
58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,11,13,Monday,4,2023,False,Autumn,1225,1305.0,225.0,1800.0,1,300.0,344
59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,7,5,Wednesday,3,2023,False,Summer,780,962.8571428571429,500.0,900.0,1,50.0,344
60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,10,23,Monday,4,2023,False,Autumn,800,987.1428571428571,1950.0,2860.0,1,50.0,301
61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,4,9,Sunday,2,2023,True,Spring,2235,2372.1428571428573,2450.0,1200.0,1,50.0,301
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,12,27,Wednesday,4,2023,False,Winter,700,1018.5714285714286,1880.0,1350.0,1,50.0,301
63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,2,5,Sunday,1,2023,True,Winter,1805,1867.142857142857,1120.0,600.0,1,25.0,337
64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,1,24,Tuesday,1,2023,False,Winter,2250,1369.2857142857142,3120.0,4000.0,1,25.0,344
65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,12,5,Tuesday,4,2023,False,Winter,2475,1461.4285714285713,1730.0,390.0,1,500.0,337
66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,4,27,Thursday,2,2023,False,Spring,1430,761.4285714285714,270.0,3375.0,1,30.0,337
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,5,29,Monday,2,2023,False,Spring,1200,2371.4285714285716,75.0,1810.0,1,300.0,301
68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,2,10,Friday,1,2023,False,Winter,1900,1225.0,600.0,1230.0,1,300.0,337
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,4,30,Sunday,2,2023,True,Spring,155,611.4285714285714,1960.0,2905.0,1,25.0,301
70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,2,21,Tuesday,1,2023,False,Winter,385,1675.7142857142858,1130.0,3600.0,1,300.0,344
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,7,14,Friday,3,2023,False,Summer,5125,1180.0,100.0,780.0,1,25.0,301
72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,5,23,Tuesday,2,2023,False,Spring,8455,2691.4285714285716,1810.0,7260.0,1,500.0,337
73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,8,21,Monday,3,2023,False,Summer,1560,1220.0,90.0,700.0,1,30.0,337
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,11,22,Wednesday,4,2023,False,Autumn,2200,1264.2857142857142,1060.0,1630.0,1,500.0,301
75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,7,6,Thursday,3,2023,False,Summer,2260,1242.857142857143,780.0,300.0,1,50.0,301
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,3,25,Saturday,1,2023,True,Spring,1625,1677.857142857143,250.0,1620.0,1,50.0,337
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,7,9,Sunday,3,2023,True,Summer,325,866.4285714285714,220.0,1030.0,1,50.0,344
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,7,1,Saturday,3,2023,True,Summer,1750,1308.5714285714287,1030.0,6220.0,1,500.0,344
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,4,18,Tuesday,2,2023,False,Spring,500,503.57142857142856,25.0,60.0,1,300.0,301
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,12,10,Sunday,4,2023,True,Winter,1420,2384.285714285714,3925.0,600.0,1,30.0,344
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,5,17,Wednesday,2,2023,False,Spring,3050,1997.142857142857,7260.0,2200.0,1,50.0,337
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,12,26,Tuesday,4,2023,False,Winter,1880,1111.4285714285713,1200.0,790.0,1,50.0,301
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,12,16,Saturday,4,2023,True,Winter,1130,1019.2857142857143,2050.0,3925.0,1,50.0,337
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,11,28,Tuesday,4,2023,False,Autumn,390,1039.2857142857142,235.0,1060.0,1,30.0,337
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,2,6,Monday,1,2023,False,Winter,625,1850.7142857142858,1805.0,740.0,1,50.0,344
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,11,8,Wednesday,4,2023,False,Autumn,210,1412.142857142857,1560.0,1450.0,1,30.0,301
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,11,22,Wednesday,4,2023,False,Autumn,2200,1264.2857142857142,1060.0,1630.0,1,50.0,301
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,3,29,Wednesday,1,2023,False,Spring,500,919.2857142857143,100.0,1390.0,1,500.0,344
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,10,1,Sunday,4,2023,True,Autumn,2800,1465.0,2900.0,100.0,1,500.0,337
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,5,6,Saturday,2,2023,True,Spring,990,699.2857142857143,1520.0,1960.0,1,30.0,337
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,3,25,Saturday,1,2023,True,Spring,1625,1677.857142857143,250.0,1620.0,1,500.0,337
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,8,25,Friday,3,2023,False,Summer,395,1216.4285714285713,1305.0,1630.0,1,30.0,337
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,7,14,Friday,3,2023,False,Summer,5125,1180.0,100.0,780.0,1,500.0,301
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,5,19,Friday,2,2023,False,Spring,1350,2250.0,550.0,100.0,1,500.0,301
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,11,24,Friday,4,2023,False,Autumn,1110,1062.857142857143,1590.0,2610.0,1,30.0,344
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,12,19,Tuesday,4,2023,False,Winter,790,1300.7142857142858,2250.0,200.0,1,300.0,344
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,10,13,Friday,4,2023,False,Autumn,1175,1534.2857142857142,475.0,1500.0,1,500.0,301
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,4,23,Sunday,2,2023,True,Spring,2905,1417.857142857143,225.0,300.0,1,50.0,301
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,12,17,Sunday,4,2023,True,Winter,1500,1030.7142857142858,1130.0,1420.0,1,300.0,337
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,6,16,Friday,2,2023,False,Summer,230,1135.7142857142858,220.0,1820.0,1,30.0,337
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,1,29,Sunday,1,2023,True,Winter,600,1406.4285714285713,1020.0,325.0,1,300.0,344
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,4,28,Friday,2,2023,False,Spring,135,756.4285714285714,1430.0,170.0,1,25.0,301
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,1,17,Tuesday,1,2023,False,Winter,1645,1470.7142857142858,4000.0,200.0,1,25.0,344
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,6,11,Sunday,2,2023,True,Summer,3300,1681.4285714285713,2750.0,1030.0,1,500.0,301
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,7,25,Tuesday,3,2023,False,Summer,2000,1824.2857142857142,4610.0,190.0,1,500.0,337
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,5,18,Thursday,2,2023,False,Spring,550,2071.4285714285716,3050.0,30.0,1,50.0,344
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,2,3,Friday,1,2023,False,Winter,1230,1680.7142857142858,1375.0,235.0,1,300.0,344
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,4,19,Wednesday,2,2023,False,Spring,2725,885.7142857142857,500.0,50.0,1,25.0,301
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,10,18,Wednesday,4,2023,False,Autumn,2025,1188.5714285714287,175.0,2250.0,1,500.0,337
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,6,11,Sunday,2,2023,True,Summer,3300,1681.4285714285713,2750.0,1030.0,1,300.0,344
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,4,19,Wednesday,2,2023,False,Spring,2725,885.7142857142857,500.0,50.0,1,500.0,337
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,12,2,Saturday,4,2023,True,Winter,3030,1092.857142857143,110.0,150.0,1,500.0,344
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,9,13,Wednesday,3,2023,False,Autumn,50,851.4285714285714,2200.0,530.0,1,25.0,337
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,7,22,Saturday,3,2023,True,Summer,150,1782.142857142857,1000.0,100.0,1,25.0,301
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,11,26,Sunday,4,2023,True,Autumn,1600,1108.5714285714287,150.0,300.0,1,500.0,344
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,8,23,Wednesday,3,2023,False,Summer,1730,1335.0,1275.0,970.0,1,30.0,344
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,3,15,Wednesday,1,2023,False,Spring,1000,532.1428571428571,300.0,3040.0,1,500.0,337
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,5,16,Tuesday,2,2023,False,Spring,7260,1875.7142857142858,1680.0,660.0,1,500.0,337
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,3,13,Monday,1,2023,False,Spring,300,823.5714285714286,525.0,625.0,1,50.0,344
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,5,7,Sunday,2,2023,True,Spring,995,819.2857142857143,990.0,155.0,1,50.0,301
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,10,15,Sunday,4,2023,True,Autumn,1500,1117.857142857143,110.0,2025.0,1,50.0,337
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,10,3,Tuesday,4,2023,False,Autumn,2170,1741.4285714285713,1245.0,1090.0,1,30.0,337
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,5,15,Monday,2,2023,False,Spring,1680,932.8571428571429,1060.0,4200.0,1,30.0,337
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,10,27,Friday,4,2023,False,Autumn,3650,1841.4285714285713,740.0,50.0,1,500.0,344
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,8,8,Tuesday,3,2023,False,Summer,1385,1542.142857142857,1020.0,720.0,1,50.0,344
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,10,26,Thursday,4,2023,False,Autumn,740,1327.142857142857,3500.0,1860.0,1,30.0,344
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,7,24,Monday,3,2023,False,Summer,4610,1565.7142857142858,2000.0,3000.0,1,25.0,344
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,7,5,Wednesday,3,2023,False,Summer,780,962.8571428571429,500.0,900.0,1,500.0,301
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,4,23,Sunday,2,2023,True,Spring,2905,1417.857142857143,225.0,300.0,1,300.0,301
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,3,12,Sunday,1,2023,True,Spring,525,870.0,500.0,420.0,1,500.0,344
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,9,18,Monday,3,2023,False,Autumn,1000,1053.5714285714287,700.0,200.0,1,300.0,301
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,9,10,Sunday,3,2023,True,Autumn,200,748.5714285714286,200.0,300.0,1,50.0,337
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,2,16,Thursday,1,2023,False,Winter,900,1445.0,400.0,425.0,1,300.0,337
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,1,25,Wednesday,1,2023,False,Winter,50,1141.4285714285713,2250.0,1645.0,1,50.0,337
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,2,26,Sunday,1,2023,True,Winter,50,1092.142857142857,2550.0,2025.0,1,25.0,344
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,3,20,Monday,1,2023,False,Spring,2950,1078.5714285714287,80.0,500.0,1,300.0,337
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,11,18,Saturday,4,2023,True,Autumn,1130,1342.857142857143,2610.0,115.0,1,500.0,301
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,3,23,Thursday,1,2023,False,Spring,1950,1795.0,1390.0,1000.0,1,50.0,344
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,12,15,Friday,4,2023,False,Winter,2050,1418.5714285714287,660.0,2800.0,1,500.0,301
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,8,5,Saturday,3,2023,True,Summer,5205,1197.142857142857,260.0,575.0,1,30.0,337
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,11,2,Thursday,4,2023,False,Autumn,1915,1552.857142857143,1450.0,3500.0,1,50.0,337
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,2,2,Thursday,1,2023,False,Winter,1375,1538.5714285714287,4700.0,2570.0,1,300.0,337
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,7,17,Monday,3,2023,False,Summer,950,1370.7142857142858,190.0,325.0,1,50.0,344
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,7,15,Saturday,3,2023,True,Summer,3000,1285.7142857142858,5125.0,2260.0,1,500.0,301
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,11,2,Thursday,4,2023,False,Autumn,1915,1552.857142857143,1450.0,3500.0,1,25.0,344
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,8,28,Monday,3,2023,False,Summer,350,1105.0,1725.0,1560.0,1,50.0,344
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,9,28,Thursday,3,2023,False,Autumn,425,335.7142857142857,100.0,160.0,1,300.0,337
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,5,9,Tuesday,2,2023,False,Spring,660,1400.7142857142858,4200.0,165.0,1,30.0,344
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,10,11,Wednesday,4,2023,False,Autumn,2250,1588.5714285714287,2120.0,3010.0,1,25.0,344
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,12,15,Friday,4,2023,False,Winter,2050,1418.5714285714287,660.0,2800.0,1,50.0,344
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,2,28,Tuesday,1,2023,False,Winter,2180,1447.857142857143,1825.0,385.0,1,500.0,337
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,12,16,Saturday,4,2023,True,Winter,1130,1019.2857142857143,2050.0,3925.0,1,500.0,337
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,10,2,Monday,4,2023,False,Autumn,1245,1587.142857142857,2800.0,390.0,1,300.0,337
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,5,17,Wednesday,2,2023,False,Spring,3050,1997.142857142857,7260.0,2200.0,1,500.0,337
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,11,25,Saturday,4,2023,True,Autumn,150,922.8571428571429,1110.0,1130.0,1,25.0,344
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,6,24,Saturday,2,2023,True,Summer,6220,1688.5714285714287,170.0,1450.0,1,500.0,337
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,2,27,Monday,1,2023,False,Winter,1825,1191.4285714285713,50.0,1130.0,1,300.0,337
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,5,31,Wednesday,2,2023,False,Spring,2300,1505.0,140.0,50.0,1,50.0,344
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,8,11,Friday,3,2023,False,Summer,900,1745.7142857142858,200.0,260.0,1,50.0,344
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,3,22,Wednesday,1,2023,False,Spring,1390,1659.2857142857142,3500.0,300.0,1,500.0,301
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,8,21,Monday,3,2023,False,Summer,1560,1220.0,90.0,700.0,1,30.0,344
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,5,15,Monday,2,2023,False,Spring,1680,932.8571428571429,1060.0,4200.0,1,500.0,301
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,9,14,Thursday,3,2023,False,Autumn,1200,770.7142857142857,50.0,1765.0,1,300.0,344
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,4,2,Sunday,2,2023,True,Spring,2600,1370.0,4400.0,1420.0,1,500.0,344
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,9,17,Sunday,3,2023,True,Autumn,700,939.2857142857143,2150.0,200.0,1,50.0,344
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,2,24,Friday,1,2023,False,Winter,3200,1152.857142857143,30.0,5890.0,1,300.0,344
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,11,17,Friday,4,2023,False,Autumn,2610,1197.857142857143,1500.0,3100.0,1,500.0,301
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,6,2,Friday,2,2023,False,Summer,150,889.2857142857143,160.0,2020.0,1,25.0,344
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,11,24,Friday,4,2023,False,Autumn,1110,1062.857142857143,1590.0,2610.0,1,300.0,344
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,9,17,Sunday,3,2023,True,Autumn,700,939.2857142857143,2150.0,200.0,1,25.0,301
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,11,8,Wednesday,4,2023,False,Autumn,210,1412.142857142857,1560.0,1450.0,1,30.0,337
174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,4,12,Wednesday,2,2023,False,Spring,1590,1383.5714285714287,50.0,1620.0,1,300.0,301
175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,3,20,Monday,1,2023,False,Spring,2950,1078.5714285714287,80.0,500.0,1,25.0,337
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,7,11,Tuesday,3,2023,False,Summer,200,645.0,325.0,1750.0,1,50.0,301
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,3,24,Friday,1,2023,False,Spring,250,1677.142857142857,1950.0,1075.0,1,50.0,301
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,10,4,Wednesday,4,2023,False,Autumn,3010,2157.1428571428573,2170.0,100.0,1,30.0,344
